transaction_id,user_id,device_id,timestamp,transaction_type,amount_rwf,balance_before_rwf,balance_after_rwf,recipient_id,location,is_fraud,anomaly_reason,hour_of_day,day_of_week,is_night,amount_log
T505174,U101368,D201368,2025-09-07 02:16:16,transfer,100,2506,2406,U101533,Gasabo,0,,2,6,1,4.61512051684126
T504925,U100768,D200768,2025-10-16 20:59:33,cash_out,100,6697,6597,,Ruhango,0,,20,3,0,4.61512051684126
T501575,U100429,D200429,2025-08-20 04:49:54,bill_payment,100,5662,5562,,Kayonza,0,,4,2,1,4.61512051684126
T500912,U100527,D200527,2025-09-16 05:31:06,transfer,100,14774,14674,E957213,Huye,0,,5,1,0,4.61512051684126
T508573,U100094,D200094,2025-10-07 23:17:00,cash_in,100,13656,13756,,Musanze,0,,23,1,0,4.61512051684126
T509895,U100484,D200484,2025-08-18 14:21:13,cash_out,100,3478,3378,,Nyagatare,0,,14,0,0,4.61512051684126
T506012,U100358,D200358,2025-09-05 21:48:52,transfer,100,23583,23483,U100331,Gasabo,0,,21,4,0,4.61512051684126
T506030,U100765,D200765,2025-04-25 15:16:10,cash_out,100,6792,6692,,Rubavu,0,,15,4,0,4.61512051684126
T507364,U101049,D201049,2025-08-13 02:34:37,cash_out,594,22873,22279,,Gasabo,0,,2,2,1,6.388561405545629
T501634,U101101,D201101,2025-09-28 22:14:55,cash_in,100,4182,4282,,Kayonza,0,,22,6,0,4.61512051684126
T504141,U100690,D200690,2025-08-24 04:52:20,transfer,100,18023,17923,U100194,Kigali,0,,4,6,1,4.61512051684126
T501749,U100266,D200266,2025-10-13 03:33:13,airtime_purchase,366,44756,44390,,Nyagatare,0,,3,0,1,5.90536184805457
T508109,U101824,D201824,2025-05-22 13:20:25,airtime_purchase,100,9763,9663,,Rubavu,0,,13,3,0,4.61512051684126
T509927,U100052,D200052,2025-07-09 22:37:57,cash_out,100,7642,7542,,Gicumbi,0,,22,2,0,4.61512051684126
T501212,U101886,D201886,2025-06-04 22:44:25,cash_in,100,4448,4548,,Ruhango,0,,22,2,0,4.61512051684126
T500163,U100403,D200403,2025-06-30 17:23:42,transfer,100,15709,15609,U101360,Nyamasheke,0,,17,0,0,4.61512051684126
T509842,U100267,D200267,2025-05-26 18:23:02,airtime_purchase,100,4088,3988,,Gicumbi,0,,18,0,0,4.61512051684126
T500828,U101240,D201240,2025-07-02 13:13:04,transfer,240,6403,6163,U101869,Nyamasheke,0,,13,2,0,5.484796933490655
T509462,U101630,D201630,2025-06-19 01:50:24,transfer,100,22941,22841,U100173,Kicukiro,0,,1,3,1,4.61512051684126
